kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
14,45 мин.,1,2,2,2,0,,5,47,"0,89",0,1,2,2,0,15,1 ч. 9 мин.,0,7,4,11,61,8,8,17,5,"5,670",6,,5,1,0,5,4,3,18,male,0
18,42 мин. 32 сек.,10,5,0,0,2,0,17,"71,0","0,76",0,10,5,0,2,12,1 ч. 7 мин.,5,7,0,12,52,8,8,16,4,"5,783",6,,5,5,3,0,0,5,18,male,1
18,33 мин. 32 сек.,0,5,15,15,7,,27,81,"0,67",0,10,5,15,7,17,44 мин. 38 сек.,5,9,10,24,81,10,9.8,26,9,"8,645",9,,39,3,10,7,5,26,90,female,0
14,40 мин. 11 сек.,10,5,0,0,10,,25,67,"0,63",0,10,5,0,10,17,1 ч. 9 мин.,9,0,0,9,66,9,6,16,4,"6,058",6,,10,1,2,0,0,2,15,male,0
9,34 мин. 39 сек.,10,5,12,8,0,5,28,"55,0","0,49",1,10,5,8,5,12,1 ч. 7 мин.,4,6,0,10,50,10,10,15,4,"5,588",6,,10,0,4,2,1,0,17,male,1
20,18 мин. 42 сек.,10,4,15,15,6,,35,95,"0,63",0,10,4,15,6,13,1 ч. 8 мин.,4,4,9,17,60,8,,10,2,"5,663",6,,19,5,5,0,5,24,58,female,0
17,37 мин. 13 сек.,10,5,8,8,10,,33,84,"0,61",0,10,5,8,10,17,52 мин. 4 сек.,0,9,0,9,66,10,10,12,3,"6,525",7,,20,5,0,4,0,7,36,female,0
14,42 мин. 17 сек.,10,0,15,10,0,0,20,"62,0","0,68",0,10,0,10,0,13,1 ч. 7 мин.,0,0,3,3,46,6,6,15,4,"5,070",5,,0,,,,,,0,female,1
7,20 мин. 32 сек.,,,,,,,0,21,"1,00",0,,,,0,16,1 ч. 8 мин.,,,,0,53,1,1,23,7,"4,285",4,,10,0,0,0,0,0,10,male,0
18,35 мин. 35 сек.,10,5,9,6,0,5,26,"80,0","0,68",0,10,5,6,5,14,1 ч. 6 мин.,5,9,0,14,61,9,9,18,5,"6,728",7,,35,5,7,3,5,2,57,male,1
14,35 мин. 15 сек.,5,5,12,12,8,,30,72,"0,58",0,5,5,12,8,16,1 ч. 10 мин.,4,0,10,14,67,10,10,21,6,"7,123",7,,20,5,3,5,3,0,36,male,0
11,44 мин. 34 сек.,10,5,15,15,10,,40,73,"0,45",1,10,5,15,10,16,52 мин. 8 сек.,4,3,10,17,70,10,10,15,7,"7,533",8,,40,4,3,5,5,20,77,male,0
17,34 мин. 16 сек.,10,5,15,15,7,,37,88,"0,58",0,10,5,15,7,14,1 ч. 10 мин.,4,6,9,19,66,10,10,20,6,"7,535",8,,10,5,5,0,0,0,20,female,0
13,30 мин. 47 сек.,5,5,15,15,7,,32,71,"0,55",0,5,5,15,7,14,1 ч. 9 мин.,3,7,9,19,66,10,10,22,6,"7,068",7,,30,5,10,6,5,12,68,female,0
6,44 мин. 59 сек.,0,4,15,15,8,,27,45,"0,40",1,0,4,15,8,15,1 ч. 9 мин.,,,,0,50,10,8,17,5,"5,513",6,,,2,0,0,0,,2,,0
13,44 мин. 3 сек.,10,5,0,0,3,,18,57,"0,68",0,10,5,0,3,1,1 ч. 9 мин.,0,0,4,4,7,9,0,12,3,"3,560",4,,0,0,0,0,0,0,0,male,0
15,35 мин. 37 сек.,5,2,8,8,7,,22,67,"0,67",0,5,2,8,7,18,1 ч. 3 мин.,5,5,2,12,72,10,10,13,3,"6,223",6,,0,0,0,0,0,0,0,male,0
,"",,,,,,,0,0,"1,00",0,,,,0,,"",,,,0,0,1,1,,,"0,150",0,,,,,,,,0,male,0
6,44 мин. 59 сек.,5,5,15,15,10,,35,53,"0,34",1,5,5,15,10,21,52 мин. 45 сек.,1,0,0,1,71,1,1,18,4,"4,760",5,,0,0,0,0,0,0,0,male,0
11,37 мин. 30 сек.,5,5,15,15,10,,35,68,"0,49",1,5,5,15,10,19,1 ч. 9 мин.,10,4,4,18,81,10,8,19,5,"6,998",7,,10,5,0,10,5,0,30,female,0
18,32 мин. 6 сек.,10,5,12,8,0,5,28,"82,0","0,66",0,10,5,8,5,19,1 ч. 6 мин.,4,8,6,18,81,9,9,22,9,"8,533",9,,40,5,2,5,4,21,77,male,1
10,45 мин. 1 сек.,0,5,3,3,2,,10,40,"0,75",0,0,5,10,2,15,1 ч. 10 мин.,0,9,10,19,69,9,8,18,5,"5,798",6,,10,1,4,5,2,16,38,female,0
11,43 мин. 48 сек.,5,5,0,0,7,,17,50,"0,66",0,5,5,0,7,13,1 ч. 9 мин.,0,0,0,0,43,8,8,15,4,"4,958",5,,15,0,0,0,0,0,15,male,0
17,43 мин. 47 сек.,7,10,15,10,0,5,32,"83,0","0,61",0,7,10,10,5,20,1 ч. 8 мин.,4,8,1,13,80,10,10,27,10,"8,983",9,,40,5,0,0,5,20,70,male,1
15,40 мин. 55 сек.,10,0,0,0,0,,10,55,"0,82",0,10,0,0,0,13,1 ч. 9 мин.,4,2,0,6,49,8,1,21,6,"5,510",6,,0,4,2,0,0,0,6,male,0
16,38 мин. 32 сек.,10,0,0,0,10,,20,68,"0,71",0,10,0,0,10,12,1 ч. 9 мин.,0,0,1,1,41,4,7,14,4,"4,948",5,,15,5,2,0,0,2,24,male,0
