kr_1_test,kr_1_duration,kr_1_1,kr_1_2,kr_1_3,kr_1_3_rescale,kr_1_4a,kr_1_4b,kr_1_open,kr_1_sum,fisher,suspected,k_11_lms,k_12_lms,k_13_lms,k_14_lms,kr_2_test,kr_2_duration,kr_2_1,kr_2_2,kr_2_3,k2_open,k2_sum,domashka,auditorka,exam,exam_10,unround,Itog,V38,kr3_min,kr3_1,kr3_2,kr3_3,kr3_4,kr3_5,kr3_sum,sex,ip
13,45 мин.,10,5,15,15,4,,34,73,"0,53",0,10,5,15,4,7,1 ч. 10 мин.,2,0,10,12,35,8,6,5,1,"4,370",4,,20,5,10,5,0,16,56,female,0
,"",1,0,15,15,10,,26,26,"0,00",1,1,0,15,10,,"",,,,0,0,0,0,,,"0,715",1,,,,,,,,0,male,0
12,39 мин. 48 сек.,10,5,1,1,0,0,16,"51,7","0,70",0,10,5,1,0,16,1 ч. 10 мин.,6,8,0,14,67,8,8,18,5,"5,963",6,,10,,,,,,10,female,1
8,44 мин. 59 сек.,0,0,0,0,0,,0,24,"1,00",0,0,0,0,0,19,54 мин. 7 сек.,7,10,10,27,90,6,,16,4,"4,935",5,,,,,,,,0,male,0
13,31 мин. 34 сек.,10,5,9,6,0,5,26,"65,0","0,60",0,10,5,6,5,15,1 ч. 10 мин.,2,0,1,3,53,8,8,19,5,"5,945",6,,25,1,1,0,0,0,27,male,1
13,43 мин. 24 сек.,10,5,10,10,7,,32,71,"0,55",0,10,5,10,7,11,1 ч. 10 мин.,6,2,0,8,45,10,10,22,6,"6,490",6,,0,0,0,0,0,0,0,female,0
9,44 мин. 29 сек.,0,4,0,0,7,,11,38,"0,71",0,0,4,0,7,12,1 ч. 8 мин.,10,3,0,13,53,10,10,18,5,"5,503",6,,10,0,0,4,1,0,15,male,0
12,44 мин. 59 сек.,0,0,10,10,7,,17,53,"0,68",0,0,0,10,7,12,55 мин. 34 сек.,0,0,1,1,41,10,0,8,2,"4,185",4,,10,0,0,0,0,0,10,male,0
17,37 мин. 16 сек.,5,5,15,15,10,,35,86,"0,59",0,5,5,15,10,0,1 ч. 7 мин.,,,,0,0,0,0,26,,"2,365",2,,0,,,,,,0,male,0
11,35 мин. 35 сек.,0,5,6,6,7,,18,51,"0,65",0,0,5,6,7,12,1 ч. 8 мин.,0,0,8,8,48,6,6,15,4,"4,823",5,,,,,,,,0,male,0
15,35 мин. 29 сек.,10,5,14,9,0,5,29,"74,3","0,61",0,10,5,9,5,18,1 ч. 6 мин.,10,8,0,18,78,10,10,12,3,"6,589",7,,30,4,8,4,3,9,58,male,1
15,45 мин. 1 сек.,10,5,15,15,10,,40,85,"0,53",0,10,5,15,10,14,1 ч. 9 мин.,0,2,2,4,51,10,8,9,2,"5,740",6,,0,0,0,0,0,0,0,female,0
18,36 мин. 23 сек.,5,5,0,0,3,,13,67,"0,81",0,5,5,0,3,12,1 ч. 10 мин.,4,0,10,14,54,9,0,15,4,"5,428",5,,0,0,0,0,0,0,0,male,0
11,38 мин. 52 сек.,10,5,11,11,0,,26,59,"0,56",0,10,5,11,0,12,1 ч. 7 мин.,4,7,3,14,54,10,10,13,3,"5,508",6,,30,5,10,0,3,0,48,female,0
14,45 мин.,10,5,9,9,3,,27,69,"0,61",0,10,5,9,3,4,1 ч. 9 мин.,,,,0,13,8,0,20,6,"4,855",5,,0,0,0,0,0,0,0,female,0
12,40 мин. 3 сек.,10,5,10,7,0,5,27,"62,7","0,57",0,10,5,7,5,18,42 мин. 4 сек.,0,7,2,9,69,5,5,19,5,"5,871",6,,,,,,,,0,male,1
14,44 мин. 49 сек.,5,5,0,0,4,,14,56,"0,75",0,5,5,0,4,12,1 ч. 9 мин.,0,0,10,10,50,6,6,16,4,"5,015",5,,9,0,1,0,0,0,10,male,0
16,38 мин. 29 сек.,10,5,10,10,10,,35,83,"0,58",0,10,5,10,10,13,1 ч. 8 мин.,3,0,3,6,49,10,8,15,4,"6,230",6,,0,5,1,4,0,5,15,female,0
17,44 мин. 54 сек.,0,0,15,15,10,,25,76,"0,67",0,0,0,15,10,17,1 ч. 7 мин.,0,10,0,10,67,9,8,18,5,"6,733",7,,10,5,5,0,0,1,21,male,0
18,43 мин. 59 сек.,10,5,15,15,10,,40,94,"0,57",0,10,5,15,10,21,1 ч.,4,3,8,15,85,10,10,24,7,"8,523",9,,20,5,1,0,5,0,31,male,0
14,29 мин. 11 сек.,10,5,2,1,0,3,19,"61,3","0,68",0,10,5,1,3,14,1 ч. 3 мин.,0,2,3,5,52,6,6,17,5,"5,517",6,,15,0,1,0,0,0,16,male,1
7,44 мин. 2 сек.,0,1,0,0,7,,8,29,"0,72",0,0,1,0,7,1,46 мин. 57 сек.,,,,0,3,0,0,5,,"0,880",1,,,,,,,,0,male,0
5,45 мин. 16 сек.,,,,,,,0,15,"1,00",0,,,,0,,"",,,,0,0,1,1,,,"0,563",1,,,,,,,,0,male,0
14,23 мин. 18 сек.,10,5,9,6,0,5,26,"68,0","0,62",0,10,5,6,5,15,1 ч. 6 мин.,4,8,1,13,63,9,9,15,4,"6,153",6,,20,3,6,5,5,15,54,male,1
12,45 мин.,10,5,0,0,10,,25,61,"0,59",0,10,5,0,10,15,1 ч. 9 мин.,2,0,5,7,57,9,,10,2,"4,745",5,,20,5,1,0,0,10,36,female,0
7,43 мин. 10 сек.,1,0,0,0,7,,8,29,"0,72",0,1,0,0,7,6,1 ч. 9 мин.,,,,0,20,7,7,16,4,"3,598",4,,0,0,0,0,0,0,0,female,0
14,44 мин. 32 сек.,5,5,13,13,0,,23,65,"0,65",0,5,5,13,0,9,1 ч. 9 мин.,5,0,8,13,43,9,9,11,3,"5,220",5,,,,,,,,0,male,0
11,44 мин. 20 сек.,10,5,0,0,7,,22,55,"0,60",0,10,5,0,7,8,1 ч. 7 мин.,0,2,7,9,36,10,7,15,4,"5,053",5,,10,5,,,,,15,female,0
14,39 мин. 9 сек.,5,5,10,10,3,,23,65,"0,65",0,5,5,10,3,2,1 ч. 8 мин.,3,0,0,3,10,10,10,21,6,"5,363",5,,0,0,0,0,3,0,3,male,0
13,32 мин. 30 сек.,10,5,14,14,7,,36,75,"0,52",0,10,5,14,7,17,1 ч.,4,1,5,10,67,10,8,16,4,"6,505",7,,20,0,0,0,0,3,23,male,0
,"",,,,,,,0,0,"1,00",0,,,,0,,"",,,,0,0,0,0,,,"0,000",0,,,,,,,,0,male,0
14,44 мин. 50 сек.,0,5,5,5,8,,18,60,"0,70",0,0,5,5,8,19,1 ч. 3 мин.,4,7,10,21,84,9,10,27,9,"8,060",8,,30,5,5,10,5,30,85,male,0
9,44 мин. 42 сек.,0,5,0,0,6,,11,38,"0,71",0,0,5,0,6,5,1 ч. 10 мин.,,,,0,17,0,5,20,6,"3,563",4,,,,,,,,0,male,0
7,41 мин. 32 сек.,10,3,0,0,6,,19,40,"0,53",0,10,3,0,6,6,1 ч. 10 мин.,,,,0,20,7,7,13,3,"3,600",4,,10,1,0,0,0,0,11,male,0
12,44 мин. 54 сек.,5,0,0,0,7,,12,48,"0,75",0,5,0,0,7,11,1 ч. 10 мин.,5,2,10,17,54,10,10,19,5,"5,805",6,,35,3,0,0,0,0,38,female,0
12,43 мин. 21 сек.,0,0,0,0,0,,0,36,"1,00",0,0,0,0,0,2,1 ч. 9 мин.,,,,0,7,0,0,7,1,"1,483",1,,,,,,,,0,male,0
19,35 мин. 21 сек.,10,5,7,5,0,5,25,"81,7","0,70",0,10,5,5,5,18,1 ч. 5 мин.,5,8,0,13,73,10,10,21,6,"7,553",8,,25,4,3,4,3,11,50,male,1
12,45 мин.,0,5,15,15,10,,30,66,"0,55",0,0,5,15,10,15,1 ч. 5 мин.,0,3,5,8,58,10,8,13,3,"5,710",6,,0,3,1,0,0,0,4,female,0
14,44 мин. 24 сек.,1,5,2,2,6,,14,56,"0,75",0,1,5,2,6,15,1 ч. 9 мин.,4,0,4,8,58,9,9,13,3,"5,385",5,,14,3,0,3,2,0,22,female,0
16,44 мин. 24 сек.,5,5,8,8,8,,26,74,"0,65",0,5,5,8,8,14,1 ч. 2 мин.,4,0,3,7,54,8,8,19,5,"6,220",6,,,,,,,,0,female,0
16,34 мин. 5 сек.,10,5,0,0,10,,25,73,"0,66",0,10,5,0,10,16,1 ч. 10 мин.,0,4,6,10,63,9,8,11,3,"5,940",6,,0,0,0,0,0,0,0,male,0
7,34 мин. 25 сек.,,,,,,,0,21,"1,00",0,,,,0,,"",,,,0,0,0,0,,,"0,578",1,,,,,,,,0,male,0
,"",,,0,0,0,,0,0,"1,00",0,,,0,0,,"",,,,0,0,1,1,,,"0,150",0,,,,,,,,0,male,0
16,34 мин. 21 сек.,10,5,10,7,0,5,27,"74,7","0,64",0,10,5,7,5,20,1 ч. 10 мин.,5,3,0,8,75,7,7,15,4,"6,366",6,,15,2,2,1,0,0,20,female,1
,"",,,0,0,0,,0,0,"1,00",0,,,0,0,,"",,,,0,0,1,1,,,"0,150",0,,,,,,,,0,male,0
17,42 мин. 10 сек.,10,4,8,5,0,0,19,"70,3","0,73",0,10,4,5,0,14,1 ч. 5 мин.,5,8,2,15,62,8,8,22,6,"6,639",7,,35,5,3,0,0,10,53,female,1
13,41 мин. 19 сек.,5,5,6,6,7,,23,62,"0,63",0,5,5,6,7,9,1 ч. 9 мин.,0,3,9,12,42,8,8,9,2,"4,660",5,,25,5,0,0,0,0,30,male,0
19,39 мин. 17 сек.,7,5,2,1,0,0,13,"70,3","0,81",0,7,5,1,0,17,1 ч. 9 мин.,5,0,0,5,62,6,6,23,7,"6,639",7,,15,5,1,0,0,17,38,female,1
18,38 мин. 53 сек.,5,5,12,12,7,,29,83,"0,65",0,5,5,12,7,13,1 ч. 8 мин.,4,0,10,14,57,9,9,23,7,"7,300",7,,0,0,2,5,1,1,9,male,0
17,39 мин. 8 сек.,10,5,10,10,10,,35,86,"0,59",0,10,5,10,10,8,1 ч. 9 мин.,0,0,2,2,29,0,3,13,3,"4,213",4,,0,,,,,,0,male,0
12,45 мин.,1,5,3,3,3,,12,48,"0,75",0,1,5,3,3,9,1 ч. 10 мин.,0,0,10,10,40,10,10,18,5,"5,420",5,,,,,,,,0,male,0
17,44 мин. 4 сек.,10,5,8,5,0,5,25,"76,3","0,67",0,10,5,5,5,11,1 ч. 4 мин.,4,5,2,11,48,6,6,15,4,"5,519",6,,10,1,1,5,4,0,21,female,1
12,21 мин.,1,5,15,15,7,,28,64,"0,56",0,1,5,15,7,12,1 ч. 10 мин.,1,2,0,3,43,9,9,12,3,"5,193",5,,10,5,0,4,5,12,36,male,0
14,29 мин. 44 сек.,0,5,0,0,3,,8,50,"0,84",0,0,5,0,3,16,51 мин. 16 сек.,,,,0,53,0,0,24,7,"4,933",5,,5,,,,,,5,male,0
19,43 мин. 7 сек.,10,5,15,15,10,,40,97,"0,59",0,10,5,15,10,21,"it depends,",8,10,5,23,93,10,10,28,7,"8,825",9,,40,5,2,5,5,7,64,male,0
14,38 мин. 52 сек.,10,5,12,8,0,0,23,"65,0","0,65",0,10,5,8,0,12,1 ч. 9 мин.,7,8,0,15,55,6,6,25,7,"6,300",6,,20,,,,,,20,female,1
8,45 мин.,10,5,9,9,7,,31,55,"0,44",1,10,5,9,7,15,1 ч. 10 мин.,5,0,10,15,65,9,1,4,1,"4,550",5,,,,,,,,0,male,0
,"",,,,,,,,"","",,,,,,,"",,,,,,,,,,"",,,20,5,0,0,0,5,30,male,0
14,39 мин. 38 сек.,5,5,8,8,7,,25,67,"0,63",0,5,5,8,7,20,1 ч. 5 мин.,4,8,3,15,82,8,8,24,7,"7,398",7,,39,5,10,5,5,20,84,female,0
11,40 мин. 38 сек.,10,5,5,5,10,,30,63,"0,52",0,10,5,5,10,17,1 ч. 10 мин.,0,2,10,12,69,8,8,24,7,"6,930",7,,10,1,0,0,0,0,11,male,0
18,40 мин. 51 сек.,10,5,15,15,0,,30,84,"0,64",0,10,5,15,0,11,1 ч. 10 мин.,,,,0,37,10,9,4,1,"5,078",5,,30,3,3,0,0,15,51,,0
11,42 мин. 52 сек.,0,0,13,13,7,,20,53,"0,62",0,0,0,13,7,12,1 ч.,4,8,8,20,60,9,9,10,2,"5,058",5,,10,0,0,0,0,0,10,female,0
8,43 мин. 30 сек.,0,5,0,0,7,,12,36,"0,67",0,0,5,0,7,11,1 ч. 10 мин.,4,9,0,13,50,9,9,1,1,"4,015",4,,,,,,,,0,female,0
16,33 мин. 51 сек.,10,0,7,7,7,,24,72,"0,67",0,10,3,7,7,12,1 ч. 7 мин.,0,8,0,8,48,10,10,18,5,"6,300",6,,0,0,0,0,0,0,0,female,0
12,41 мин. 56 сек.,10,0,0,0,0,,10,46,"0,78",0,10,0,0,0,16,1 ч. 6 мин.,5,0,5,10,63,10,10,13,3,"5,398",5,,18,2,0,0,0,5,25,male,0
20,37 мин. 25 сек.,10,5,9,6,0,0,21,"81,0","0,74",0,10,5,6,0,19,1 ч. 4 мин.,4,4,2,10,73,10,10,24,7,"7,835",8,,15,5,7,0,0,11,38,male,1
4,44 мин. 59 сек.,0,0,0,0,0,,0,12,"1,00",0,0,0,0,0,,"",,,,0,0,0,,,,"0,330",0,,,,,,,,0,male,0
16,41 мин. 28 сек.,10,5,15,15,7,,37,85,"0,56",0,10,5,15,7,18,1 ч. 3 мин.,4,8,8,20,80,10,10,24,9,"8,738",9,,20,5,1,4,5,13,48,female,0
13,37 мин. 11 сек.,0,5,15,15,7,,27,66,"0,59",0,0,5,15,7,13,1 ч. 8 мин.,0,7,10,17,60,9,10,20,6,"6,665",7,,10,1,4,4,1,0,20,male,0
7,45 мин.,10,0,0,0,3,,13,34,"0,62",0,10,0,0,3,12,1 ч. 10 мин.,,,,0,40,7,6,8,2,"3,635",4,,11,3,0,0,0,0,14,female,0
12,44 мин. 55 сек.,10,5,15,15,7,,37,73,"0,49",1,10,5,15,7,15,1 ч. 10 мин.,4,0,9,13,63,7,7,15,4,"5,990",6,,,5,0,0,1,1,7,male,0
11,45 мин. 1 сек.,10,5,6,6,10,,31,64,"0,52",0,10,5,6,10,7,1 ч. 10 мин.,4,0,3,7,30,6,6,16,4,"4,685",5,,0,1,1,1,1,1,5,female,0
,"",10,5,3,2,0,0,17,"17,0","0,00",1,10,5,2,0,,"",4,2,1,7,7,10,10,,7,"4,260",4,,30,1,1,4,1,0,37,male,1
12,39 мин. 1 сек.,0,5,2,2,4,,11,47,"0,77",0,0,5,2,4,4,1 ч. 9 мин.,0,7,5,12,25,7,7,17,5,"4,530",5,,,,,,,,0,male,0
10,45 мин.,0,0,0,0,4,,4,34,"0,88",0,0,0,0,4,13,1 ч. 10 мин.,6,4,0,10,53,9,9,21,6,"5,543",6,,5,1,0,1,0,0,7,female,0
18,28 мин. 37 сек.,7,5,15,10,0,0,22,"76,0","0,71",0,7,5,10,0,19,47 мин. 24 сек.,10,8,10,28,91,10,10,29,9,"8,793",9,,40,5,10,10,5,30,100,male,1
15,32 мин. 42 сек.,10,5,1,1,10,,26,71,"0,63",0,10,5,1,10,17,1 ч. 8 мин.,4,9,8,21,78,10,10,12,3,"6,498",6,,,0,7,5,3,12,27,female,0
5,43 мин. 8 сек.,10,5,11,11,4,,30,45,"0,33",1,10,5,11,4,9,1 ч. 9 мин.,6,10,0,16,46,0,0,0,0,"2,503",3,,0,0,0,0,0,0,0,male,0
14,40 мин. 6 сек.,10,5,10,10,8,,33,75,"0,56",0,10,5,10,8,13,1 ч. 9 мин.,0,2,10,12,55,10,10,20,6,"6,875",7,,10,3,0,5,4,0,22,male,0
3,44 мин. 59 сек.,0,4,0,0,5,,9,18,"0,50",0,0,4,0,5,3,1 ч. 8 мин.,,,,0,10,5,0,15,1,"1,570",2,,0,0,0,0,0,0,0,male,0
18,42 мин. 41 сек.,10,5,15,10,0,5,30,"84,0","0,64",0,10,5,10,5,17,1 ч. 8 мин.,0,9,4,13,70,10,10,23,9,"8,435",8,,20,5,3,5,4,7,44,male,1
16,35 мин. 9 сек.,0,5,15,15,10,,30,78,"0,62",0,0,5,15,10,13,1 ч. 9 мин.,1,0,10,11,54,10,10,22,6,"6,930",7,,25,3,0,5,3,8,44,female,0
18,36 мин. 30 сек.,10,0,0,0,0,,10,64,"0,84",0,10,0,0,0,18,1 ч. 7 мин.,2,9,10,21,81,9,0,14,4,"6,088",6,,20,5,10,5,5,15,60,female,0
14,44 мин. 54 сек.,1,5,2,2,6,,14,56,"0,75",0,1,5,2,6,12,1 ч. 9 мин.,2,0,2,4,44,9,9,9,2,"4,700",5,,0,5,2,3,0,0,10,female,0
17,41 мин. 52 сек.,10,5,9,6,0,5,26,"77,0","0,66",0,10,5,6,5,13,1 ч. 5 мин.,3,7,0,10,53,10,10,24,9,"7,775",8,,35,5,8,3,1,19,71,male,1
17,41 мин. 40 сек.,10,0,1,1,0,5,16,"66,7","0,77",0,10,0,1,5,16,1 ч. 9 мин.,4,2,3,9,62,9,9,19,5,"6,388",6,,30,5,3,5,17,5,65,female,1
13,43 мин. 30 сек.,0,5,0,0,0,,5,44,"0,89",0,0,5,0,0,5,1 ч. 9 мин.,6,4,0,10,27,10,0,10,2,"3,553",4,,0,0,1,0,0,0,1,female,0
18,40 мин. 36 сек.,10,0,8,5,0,0,15,"69,3","0,78",0,10,0,5,0,21,56 мин. 17 сек.,10,7,4,21,91,8,8,27,8,"8,009",8,,40,4,8,5,5,21,83,female,1
18,42 мин. 40 сек.,10,5,15,15,7,,37,91,"0,59",0,10,5,15,7,13,1 ч. 3 мин.,1,4,0,5,48,10,10,15,4,"6,523",7,,25,5,1,5,5,24,65,female,0
13,35 мин. 1 сек.,10,5,12,8,0,5,28,"67,0","0,58",0,10,5,8,5,20,1 ч. 7 мин.,4,8,0,12,79,9,9,18,5,"6,865",7,,15,3,2,0,0,0,20,male,1
5,45 мин.,0,5,14,14,6,,25,40,"0,38",1,0,5,14,6,0,1 ч. 10 мин.,,,,0,0,9,9,20,6,"4,250",4,,,,,,,,0,female,0
7,45 мин. 22 сек.,10,5,0,0,7,,22,43,"0,49",1,10,5,0,7,5,1 ч. 9 мин.,3,2,1,6,23,5,5,12,3,"3,465",3,,,,,,,,0,male,0
17,45 мин.,0,5,3,3,7,,15,66,"0,77",0,0,5,3,7,16,1 ч. 10 мин.,0,2,8,10,63,9,9,16,4,"6,098",6,,20,1,10,5,5,3,44,female,0
10,29 мин. 4 сек.,5,5,14,14,10,,34,64,"0,47",1,5,5,14,10,,"",,,,0,0,10,0,15,4,"3,960",4,,5,0,1,9,3,0,18,male,0
17,34 мин. 28 сек.,0,5,2,1,0,0,6,"57,3","0,89",0,0,5,1,0,18,1 ч. 6 мин.,4,0,0,4,64,6,6,18,5,"5,737",6,,,3,0,0,0,0,3,female,1
18,45 мин.,0,0,0,0,0,,0,54,"1,00",0,0,0,0,0,10,1 ч. 10 мин.,4,0,10,14,47,7,8,18,5,"5,378",5,,20,2,1,0,0,0,23,male,0
7,42 мин. 19 сек.,5,5,7,7,7,,24,45,"0,47",1,5,5,7,7,2,1 ч.,,,,0,7,10,7,5,1,"3,080",3,,,,,,,,0,female,0
15,44 мин. 56 сек.,0,5,3,3,7,,15,60,"0,75",0,0,5,3,7,12,54 мин. 50 сек.,0,2,4,6,46,10,10,15,4,"5,615",6,,24,0,0,5,4,12,45,female,0
10,44 мин. 21 сек.,0,5,0,0,7,,12,42,"0,71",0,0,5,0,7,1,1 ч. 10 мин.,4,3,0,7,10,8,8,11,3,"3,530",4,,,,,,,,0,male,0
19,40 мин. 6 сек.,5,5,13,13,10,,33,90,"0,63",0,5,5,13,10,15,1 ч. 2 мин.,4,0,10,14,64,7,7,20,6,"7,085",7,,9,0,0,4,4,0,17,female,0
18,34 мин. 53 сек.,10,5,2,1,0,5,21,"75,3","0,72",0,10,5,1,5,18,1 ч. 7 мин.,0,2,2,4,64,8,8,22,6,"6,832",7,,20,4,2,0,0,3,29,male,1
11,41 мин. 48 сек.,10,5,11,11,7,,33,66,"0,50",0,10,5,11,7,12,1 ч. 9 мин.,0,0,4,4,44,10,10,15,4,"5,725",6,,15,0,0,5,1,0,21,female,0
18,36 мин. 11 сек.,10,5,9,6,0,5,26,"80,0","0,68",0,10,5,6,5,17,1 ч. 4 мин.,4,8,0,12,69,10,10,17,5,"7,098",7,,20,4,3,8,4,18,57,female,1
6,44 мин. 50 сек.,0,4,5,5,7,,16,34,"0,53",0,0,4,5,7,18,1 ч. 9 мин.,6,0,5,11,71,10,7,14,4,"5,438",5,,0,0,0,0,0,18,18,male,0
10,44 мин. 51 сек.,10,5,0,0,0,,15,45,"0,67",0,10,5,0,0,9,1 ч. 9 мин.,,,,0,30,8,0,11,3,"3,763",4,,0,0,0,0,0,0,0,female,0
,"",,,,,,,0,0,"1,00",0,,,,0,,"",,,,0,0,1,1,,,"0,150",0,,,,,,,,0,male,0
13,41 мин. 33 сек.,5,5,8,8,6,,24,63,"0,62",0,5,5,8,6,4,1 ч. 10 мин.,8,4,1,13,26,10,10,21,6,"5,748",6,,15,5,0,0,0,0,20,female,0
20,41 мин. 40 сек.,10,4,12,8,0,0,22,"82,0","0,73",0,10,4,8,0,19,1 ч. 8 мин.,4,7,1,12,75,6,6,18,5,"6,718",7,,15,5,3,0,0,7,30,female,1
12,37 мин. 4 сек.,0,5,10,10,10,,25,61,"0,59",0,0,5,10,10,7,1 ч. 10 мин.,4,7,0,11,34,9,6,12,3,"4,713",5,,,,,,,,0,male,0
17,41 мин. 23 сек.,10,5,13,9,0,5,29,"79,7","0,64",0,10,5,9,5,12,1 ч. 8 мин.,2,6,0,8,48,9,9,5,1,"5,161",5,,,,,,,,0,female,1
17,35 мин. 14 сек.,5,5,10,10,6,,26,77,"0,66",0,5,5,10,6,18,54 мин. 40 сек.,4,8,10,22,82,10,10,25,7,"7,973",8,,35,5,6,9,5,15,75,female,0
7,44 мин. 58 сек.,5,2,0,0,0,,7,28,"0,75",0,5,2,0,0,5,1 ч. 9 мин.,2,0,0,2,19,7,7,14,4,"3,543",4,,0,1,0,0,0,0,1,female,0
9,44 мин. 38 сек.,10,5,10,10,3,,28,55,"0,49",1,10,5,10,3,6,1 ч. 10 мин.,4,0,6,10,30,10,10,27,7,"5,938",6,,20,0,0,5,0,0,25,female,0
17,45 мин. 11 сек.,0,5,10,10,10,,25,76,"0,67",0,0,5,10,10,13,1 ч. 10 мин.,3,10,10,23,66,10,10,23,9,"8,105",8,,39,5,8,6,5,14,77,female,0
,"",,,,,,,0,0,"1,00",0,,,,0,,"",,,,0,0,0,0,,,"0,000",0,,,,,,,,0,male,0
8,45 мин. 1 сек.,10,5,15,15,6,,36,60,"0,40",1,10,5,15,6,7,1 ч. 9 мин.,6,0,0,6,29,10,10,8,2,"4,548",5,,25,5,0,2,3,7,42,female,0
15,32 мин. 33 сек.,0,5,15,15,6,,26,71,"0,63",0,0,5,15,6,14,53 мин. 54 сек.,6,5,0,11,58,10,2,12,3,"5,548",6,,,,,,,,0,male,0
10,44 мин. 59 сек.,0,1,2,2,7,,10,40,"0,75",0,0,1,2,7,15,1 ч. 2 мин.,0,0,1,1,51,7,7,9,2,"4,153",4,,0,5,0,0,0,0,5,male,0
18,22 мин. 55 сек.,3,5,8,8,10,,26,80,"0,68",0,3,5,8,10,8,1 ч. 6 мин.,0,0,6,6,33,10,10,7,1,"4,908",5,,30,5,4,5,0,8,52,male,0
16,37 мин. 30 сек.,0,5,10,10,7,,22,70,"0,69",0,0,5,10,7,7,1 ч. 10 мин.,3,3,0,6,29,8,5,16,4,"4,973",5,,0,0,0,2,4,0,6,male,0
15,39 мин. 37 сек.,1,5,15,15,9,,30,75,"0,60",0,1,5,15,9,18,1 ч. 9 мин.,4,4,0,8,68,10,10,16,4,"6,633",7,,19,5,10,5,4,0,43,male,0
,"",,,,,,,0,0,"1,00",0,,,,0,,"",,,,0,0,1,1,,,"0,150",0,,,,,,,,0,,0
,"",5,5,4,4,10,,24,24,"0,00",1,5,5,4,10,,"",3,8,9,20,20,9,9,,7,"4,660",5,,30,5,1,0,0,5,41,male,0
19,40 мин. 1 сек.,5,2,8,8,8,,23,80,"0,71",0,5,2,8,8,20,1 ч. 9 мин.,4,0,5,9,76,4,4,16,4,"6,090",6,,40,5,,5,4,10,64,male,0
11,45 мин.,0,0,0,0,0,,0,33,"1,00",0,0,0,0,0,10,1 ч. 10 мин.,,,,0,33,5,6,11,3,"3,515",4,,,,,,,,0,male,0
19,45 мин. 1 сек.,10,5,15,10,0,5,30,"87,0","0,66",0,10,5,10,5,18,1 ч. 8 мин.,0,8,6,14,74,10,10,28,9,"8,628",9,,25,5,9,0,1,22,62,female,1
14,44 мин. 2 сек.,0,5,15,15,7,,27,69,"0,61",0,0,5,15,7,14,1 ч. 9 мин.,0,8,10,18,65,10,10,16,4,"6,385",6,,30,5,3,0,0,12,50,male,0
19,44 мин. 50 сек.,10,0,7,5,0,0,15,"71,7","0,80",0,10,0,5,0,20,1 ч. 7 мин.,0,9,6,15,82,10,10,21,6,"7,526",8,,40,5,5,1,2,28,81,female,1
12,40 мин. 49 сек.,10,5,13,13,10,,38,74,"0,49",1,10,5,13,10,18,1 ч. 7 мин.,4,10,5,19,79,8,9,24,7,"7,558",8,,0,5,7,5,1,0,18,female,0
16,43 мин. 32 сек.,10,5,12,8,0,5,28,"76,0","0,63",0,10,5,8,5,11,1 ч. 9 мин.,0,8,0,8,45,9,9,11,3,"5,578",6,,25,5,4,1,0,3,38,female,1
10,45 мин. 1 сек.,0,5,0,0,7,,12,42,"0,71",0,0,5,0,7,18,1 ч. 7 мин.,6,10,0,16,76,9,10,23,7,"6,745",7,,29,4,0,0,0,5,38,female,0
16,38 мин. 2 сек.,5,5,5,5,4,,19,67,"0,72",0,5,5,5,4,13,1 ч. 2 мин.,1,0,0,1,44,7,5,18,5,"5,503",6,,5,1,2,0,0,0,8,male,0
20,20 мин. 30 сек.,10,5,7,5,0,5,25,"84,7","0,71",0,10,5,5,5,17,59 мин. 16 сек.,2,7,3,12,69,10,10,23,10,"8,726",9,,25,5,1,5,3,24,63,male,1
13,44 мин. 38 сек.,0,5,0,0,8,,13,52,"0,75",0,0,5,0,8,15,1 ч. 4 мин.,4,0,4,8,58,10,10,21,6,"6,325",6,,40,5,0,5,5,9,64,male,0
13,37 мин. 57 сек.,5,5,3,3,7,,20,59,"0,66",0,5,5,3,7,14,1 ч. 3 мин.,,,,0,47,6,6,13,3,"4,715",5,,10,5,0,0,0,1,16,male,0
12,36 мин. 42 сек.,0,5,2,2,10,,17,53,"0,68",0,0,5,2,10,16,1 ч. 9 мин.,2,0,0,2,55,7,0,6,1,"3,970",4,,,,,,,,0,male,0
7,44 мин. 31 сек.,10,2,15,15,7,,34,55,"0,38",1,10,2,15,7,9,1 ч. 9 мин.,0,6,5,11,41,10,10,11,3,"5,040",5,,10,5,2,5,0,12,34,female,0
7,43 мин. 52 сек.,10,5,13,13,10,,38,59,"0,36",1,10,5,13,10,0,1 ч. 11 мин.,,,,0,0,6,6,20,0,"2,523",3,,,,,,,,0,female,0
10,31 мин. 44 сек.,,,,,,,0,30,"1,00",0,,,,0,12,57 мин. 19 сек.,7,2,0,9,49,,,20,6,"3,973",4,,,,,,,,0,male,0
12,40 мин. 13 сек.,10,5,11,11,7,,33,69,"0,52",0,10,5,11,7,17,1 ч. 7 мин.,4,6,5,15,72,10,10,27,8,"7,778",8,,34,5,3,3,3,18,66,male,0
16,44 мин. 33 сек.,10,5,0,0,0,,15,63,"0,76",0,10,5,0,0,6,1 ч. 10 мин.,0,7,5,12,32,10,4,11,3,"4,713",5,,0,0,0,0,0,0,0,male,0
4,44 мин. 10 сек.,0,0,15,15,7,,22,34,"0,35",1,0,0,15,7,10,43 мин. 14 сек.,2,10,5,17,50,6,6,15,1,"3,510",4,,0,0,0,0,0,10,10,male,0
